path	classification	bytes	notes
resources/js/public/privacy-policies.js	application or project source	160	Retained; reviewed within source/configuration/reference audit
resources/js/public/script.js	application or project source	15817	Retained; reviewed within source/configuration/reference audit
resources/js/public/signup.js	application or project source	24266	Retained; reviewed within source/configuration/reference audit
resources/js/public/toast-manager.js	application or project source	1606	Retained; reviewed within source/configuration/reference audit
resources/js/public/upload-photos.js	application or project source	3197	Retained; reviewed within source/configuration/reference audit
resources/js/theme.js	application or project source	1908	Retained; reviewed within source/configuration/reference audit
resources/sass/_variables.scss	retained removal candidate	138	Unused alternative frontend entry points
resources/sass/app.scss	retained removal candidate	152	Unused alternative frontend entry points
resources/views/auth/forgot-password.blade.php	application or project source	44425	Retained; reviewed within source/configuration/reference audit
resources/views/auth/login.blade.php	application or project source	19258	Retained; reviewed within source/configuration/reference audit
resources/views/auth/passwords/email.blade.php	retained removal candidate	1557	Inactive mail and password-reset scaffolding
resources/views/auth/passwords/reset.blade.php	retained removal candidate	2290	Inactive mail and password-reset scaffolding
resources/views/blog/index.blade.php	application or project source	2622	Retained; reviewed within source/configuration/reference audit
resources/views/blog/show.blade.php	application or project source	2212	Retained; reviewed within source/configuration/reference audit
resources/views/dashboard/home.blade.php	application or project source	14953	Retained; reviewed within source/configuration/reference audit
resources/views/dashboard/home/matching-profiles.blade.php	application or project source	1331	Retained; reviewed within source/configuration/reference audit
resources/views/dashboard/home/recent-profiles.blade.php	application or project source	702	Retained; reviewed within source/configuration/reference audit
resources/views/dashboard/home/shortlisted-profiles.blade.php	application or project source	1232	Retained; reviewed within source/configuration/reference audit
resources/views/dashboard/home/verified-profiles.blade.php	application or project source	791	Retained; reviewed within source/configuration/reference audit
resources/views/dashboard/home/who-viewed-profiles.blade.php	application or project source	1237	Retained; reviewed within source/configuration/reference audit
resources/views/dashboard/interest/interest-box.blade.php	application or project source	7398	Retained; reviewed within source/configuration/reference audit
resources/views/dashboard/memberships/checkout.blade.php	application or project source	15909	Retained; reviewed within source/configuration/reference audit
resources/views/dashboard/memberships/failed.blade.php	application or project source	9629	Retained; reviewed within source/configuration/reference audit
resources/views/dashboard/memberships/index.blade.php	application or project source	1894	Retained; reviewed within source/configuration/reference audit
resources/views/dashboard/memberships/plan.blade.php	application or project source	3109	Retained; reviewed within source/configuration/reference audit
resources/views/dashboard/memberships/success.blade.php	application or project source	9430	Retained; reviewed within source/configuration/reference audit
resources/views/dashboard/partials/profile-card.blade.php	application or project source	2642	Retained; reviewed within source/configuration/reference audit
resources/views/dashboard/privacy.blade.php	application or project source	1021	Retained; reviewed within source/configuration/reference audit
resources/views/dashboard/profile.blade.php	application or project source	6081	Retained; reviewed within source/configuration/reference audit
resources/views/dashboard/profile/change-password.blade.php	application or project source	2743	Retained; reviewed within source/configuration/reference audit
resources/views/dashboard/profile/complete-profile.blade.php	application or project source	28358	Retained; reviewed within source/configuration/reference audit
resources/views/dashboard/profile/delete.blade.php	application or project source	2671	Retained; reviewed within source/configuration/reference audit
resources/views/dashboard/profile/edit.blade.php	application or project source	71930	Retained; reviewed within source/configuration/reference audit
resources/views/dashboard/profile/view-all-profiles.blade.php	application or project source	2050	Retained; reviewed within source/configuration/reference audit
resources/views/dashboard/profile/view-my-profile.blade.php	application or project source	28873	Retained; reviewed within source/configuration/reference audit
resources/views/dashboard/profile/view-profile.blade.php	application or project source	40267	Retained; reviewed within source/configuration/reference audit
resources/views/dashboard/rateus.blade.php	application or project source	2143	Retained; reviewed within source/configuration/reference audit
resources/views/dashboard/referral/referral.blade.php	application or project source	2613	Retained; reviewed within source/configuration/reference audit
resources/views/dashboard/refund.blade.php	application or project source	1086	Retained; reviewed within source/configuration/reference audit
resources/views/dashboard/search/advanced-search.blade.php	application or project source	24424	Retained; reviewed within source/configuration/reference audit
resources/views/dashboard/search/quick-search.blade.php	application or project source	6374	Retained; reviewed within source/configuration/reference audit
resources/views/dashboard/search/search-by-id.blade.php	application or project source	10157	Retained; reviewed within source/configuration/reference audit
resources/views/dashboard/search/search-results.blade.php	application or project source	6896	Retained; reviewed within source/configuration/reference audit
resources/views/dashboard/success_stories/success-stories.blade.php	application or project source	7729	Retained; reviewed within source/configuration/reference audit
resources/views/dashboard/terms.blade.php	application or project source	1045	Retained; reviewed within source/configuration/reference audit
resources/views/dashboard/verify_account/verify-account.blade.php	application or project source	6155	Retained; reviewed within source/configuration/reference audit
resources/views/dashboard/viewed_contacts/index.blade.php	application or project source	2022	Retained; reviewed within source/configuration/reference audit
resources/views/dashboard/wallet/index.blade.php	application or project source	7111	Retained; reviewed within source/configuration/reference audit
resources/views/emails/registeremail.blade.php	application or project source	161	Retained; reviewed within source/configuration/reference audit
resources/views/layouts/app.blade.php	application or project source	3633	Retained; reviewed within source/configuration/reference audit
resources/views/layouts/dashboard.blade.php	application or project source	13995	Retained; reviewed within source/configuration/reference audit
resources/views/layouts/public.blade.php	application or project source	1680	Retained; reviewed within source/configuration/reference audit
resources/views/pages/about-us.blade.php	application or project source	4112	Retained; reviewed within source/configuration/reference audit
resources/views/pages/child-safety.blade.php	application or project source	3014	Retained; reviewed within source/configuration/reference audit
resources/views/pages/contact.blade.php	application or project source	8283	Retained; reviewed within source/configuration/reference audit
resources/views/pages/design-preview.blade.php	application or project source	5986	Retained; reviewed within source/configuration/reference audit
resources/views/pages/faqs.blade.php	application or project source	4414	Retained; reviewed within source/configuration/reference audit
resources/views/pages/home.blade.php	application or project source	15613	Retained; reviewed within source/configuration/reference audit
resources/views/pages/pricing.blade.php	application or project source	1634	Retained; reviewed within source/configuration/reference audit
resources/views/pages/privacy-policy.blade.php	application or project source	1414	Retained; reviewed within source/configuration/reference audit
resources/views/pages/refund-policy.blade.php	application or project source	1491	Retained; reviewed within source/configuration/reference audit
resources/views/pages/success-stories.blade.php	application or project source	7339	Retained; reviewed within source/configuration/reference audit
resources/views/pages/terms-and-conditions.blade.php	application or project source	1406	Retained; reviewed within source/configuration/reference audit
resources/views/partials/public-footer.blade.php	application or project source	4578	Retained; reviewed within source/configuration/reference audit
resources/views/partials/public-header.blade.php	application or project source	3639	Retained; reviewed within source/configuration/reference audit
routes/api.php	application or project source	572	Retained; reviewed within source/configuration/reference audit
routes/auth.php	application or project source	2244	Retained; reviewed within source/configuration/reference audit
routes/channels.php	application or project source	558	Retained; reviewed within source/configuration/reference audit
routes/console.php	application or project source	592	Retained; reviewed within source/configuration/reference audit
routes/member.php	application or project source	6600	Retained; reviewed within source/configuration/reference audit
routes/public.php	application or project source	1498	Retained; reviewed within source/configuration/reference audit
routes/web.php	application or project source	175	Retained; reviewed within source/configuration/reference audit
server.php	application or project source	624	Retained; reviewed within source/configuration/reference audit
storage/*	dependency or runtime group	6502569	321 files classified as a group; not individually marked for deletion
tests/CreatesApplication.php	application or project source	380	Retained; reviewed within source/configuration/reference audit
tests/Feature/ExampleTest.php	application or project source	380	Retained; reviewed within source/configuration/reference audit
tests/Feature/ForgotPasswordViewTest.php	application or project source	338	Retained; reviewed within source/configuration/reference audit
tests/Feature/MemberJourneyTest.php	application or project source	11368	Retained; reviewed within source/configuration/reference audit
tests/Feature/SiteContextTest.php	application or project source	1882	Retained; reviewed within source/configuration/reference audit
tests/TestCase.php	application or project source	550	Retained; reviewed within source/configuration/reference audit
tests/Unit/ExampleTest.php	application or project source	264	Retained; reviewed within source/configuration/reference audit
vendor/*	dependency or runtime group	72619455	9798 files classified as a group; not individually marked for deletion
vite.config.js	application or project source	668	Retained; reviewed within source/configuration/reference audit
